DEPT,NPHI,SP,DT,GR,CALI,RHOB,Deep_RS,RS,source
1310.0,37.9537,-31.702,104.3613,87.0785,10.1851,2.3733,10.7913,10.5594,las_2_df
1310.5,37.5833,-31.9435,105.1418,87.5344,10.1705,2.3597,10.694,10.5448,las_2_df
1311.0,36.5646,-32.5252,106.5504,87.9618,10.0287,2.3625,10.5977,10.5366,las_2_df
1311.5,36.3656,-33.0417,107.1866,87.9711,10.0469,2.3727,10.5032,10.5626,las_2_df
1312.0,36.38,-33.2687,106.9875,88.4011,10.0633,2.3837,10.4201,10.6603,las_2_df
1312.5,36.0903,-33.2255,106.1023,89.0969,9.9085,2.3815,10.3579,10.7579,las_2_df
1313.0,35.3833,-32.9169,105.0932,89.5598,9.8723,2.3923,10.4922,10.8555,las_2_df
1313.5,35.5997,-32.4686,104.4805,90.2078,10.0152,2.3906,10.6264,10.9531,las_2_df
1314.0,36.3287,-32.0759,104.4032,91.6977,10.2088,2.3921,10.7607,11.0507,las_2_df
1314.5,37.4485,-31.7288,105.0994,92.5363,10.2617,2.3952,10.895,11.1483,las_2_df
1315.0,37.7743,-31.3464,105.3166,92.1536,10.2754,2.3983,11.0293,11.136,las_2_df
1315.5,37.8926,-30.9901,105.1576,91.8631,10.2507,2.4005,11.0469,11.074,las_2_df
1316.0,37.8489,-30.7559,104.8312,91.8516,10.1366,2.4007,11.0469,11.0119,las_2_df
1316.5,37.8568,-30.5933,104.4257,91.3933,10.104,2.4104,11.0469,10.9499,las_2_df
1317.0,38.731,-30.6546,104.5375,90.4934,9.9943,2.4055,11.0469,10.8879,las_2_df
1317.5,39.4253,-30.7143,105.0587,89.2008,9.8793,2.4006,11.0469,10.8114,las_2_df
1318.0,39.4573,-30.7455,106.0618,86.7899,9.7878,2.3942,10.8514,10.7332,las_2_df
1318.5,38.9822,-30.7053,106.8814,85.6306,9.7796,2.3923,10.9222,10.8501,las_2_df
1319.0,38.5826,-30.7185,107.262,85.1563,9.7909,2.3909,11.1049,10.9671,las_2_df
1319.5,38.3431,-30.766,107.288,84.0233,9.8222,2.3857,11.2876,11.1143,las_2_df
1320.0,37.6728,-30.7822,106.6318,82.5852,9.9645,2.3845,11.5606,11.4357,las_2_df
1320.5,35.9729,-30.7721,104.7406,81.6734,10.2603,2.3824,11.8527,11.6964,las_2_df
1321.0,35.2441,-30.7587,102.6104,81.695,10.3015,2.3717,11.8626,11.7572,las_2_df
1321.5,35.4374,-30.7453,100.7815,82.1053,10.2244,2.3676,11.7191,11.7127,las_2_df
1322.0,35.8255,-30.5893,98.9441,83.2943,10.1948,2.3794,11.5698,11.5833,las_2_df
1322.5,35.8328,-30.4552,100.1761,84.9535,10.1914,2.3926,11.4121,11.3905,las_2_df
1323.0,35.9651,-30.4816,102.1051,87.0657,10.1706,2.4039,11.2544,11.1258,las_2_df
1323.5,36.8345,-30.6623,104.1256,90.022,10.2193,2.3981,11.0968,10.9769,las_2_df
1324.0,38.687,-30.9587,107.3984,92.0263,10.3146,2.3938,11.1642,10.6939,las_2_df
1324.5,39.0699,-31.2782,108.5336,91.0329,10.4214,2.4097,11.2628,10.8289,las_2_df
1325.0,38.5777,-31.3462,109.0015,89.7434,10.5042,2.4088,11.406,11.0247,las_2_df
1325.5,37.587,-31.4707,108.1759,88.5727,10.5781,2.4087,11.5989,11.1868,las_2_df
1326.0,36.6141,-31.4607,107.3757,87.7026,10.7358,2.4145,11.7917,11.4187,las_2_df
1326.5,35.8396,-31.3788,106.1433,86.038,10.7899,2.4219,11.9846,11.594,las_2_df
1327.0,35.4029,-31.0823,104.7614,84.8867,10.9517,2.4194,11.9985,11.6361,las_2_df
1327.5,34.8114,-30.9457,103.1854,84.8085,10.4753,2.4088,11.9633,11.6242,las_2_df
1328.0,34.1072,-30.9548,101.9769,84.6355,10.1648,2.3936,11.9471,11.5645,las_2_df
1328.5,34.2587,-30.8289,101.9562,84.9721,10.0602,2.387,11.9471,11.5312,las_2_df
1329.0,35.6153,-30.5888,103.1316,86.8818,10.2435,2.388,12.0537,11.5878,las_2_df
1329.5,36.5619,-30.2748,105.1731,87.5488,10.3296,2.3842,12.1675,11.6753,las_2_df
1330.0,36.8878,-29.8683,106.6276,87.1978,10.3505,2.3756,12.2896,11.8605,las_2_df
1330.5,36.7995,-29.5721,106.8585,87.0005,10.3558,2.3613,12.4132,12.0708,las_2_df
1331.0,36.4541,-29.4212,106.0487,87.0138,10.3681,2.3601,12.5421,12.2811,las_2_df
1331.5,36.3881,-29.4289,103.9087,86.6879,10.2571,2.3633,12.6713,12.4621,las_2_df
1332.0,36.2703,-29.4342,102.0553,86.7549,10.1417,2.3578,12.8005,12.6113,las_2_df
1332.5,34.9718,-29.7366,100.2876,86.9172,10.0391,2.3392,12.8694,12.6122,las_2_df
1333.0,34.5206,-30.057,99.6404,86.4063,10.1619,2.335,12.7703,12.5697,las_2_df
1333.5,36.1396,-30.3799,99.6544,85.6043,10.2231,2.3438,12.6711,12.4978,las_2_df
1334.0,36.1711,-30.778,100.4364,84.5714,10.2485,2.3649,12.5729,12.4471,las_2_df
1334.5,35.9433,-30.6704,101.6263,83.8889,10.2144,2.3837,12.4854,12.3681,las_2_df
1335.0,35.1831,-30.7638,100.9826,83.6861,10.1852,2.3934,12.3979,12.2627,las_2_df
1335.5,34.5103,-30.8072,100.0774,84.7797,10.1979,2.3983,12.3105,12.1548,las_2_df
1336.0,34.3171,-30.8006,99.3934,88.0245,10.3277,2.4044,12.223,12.0853,las_2_df
1336.5,34.2773,-30.7897,99.8353,91.1102,10.4161,2.4108,12.1356,12.0028,las_2_df
1337.0,34.6547,-30.8091,100.5759,92.9488,10.4797,2.4158,12.2129,11.8705,las_2_df
1337.5,35.1103,-30.7829,101.9029,93.5363,10.6565,2.4182,12.378,11.937,las_2_df
1338.0,35.7502,-30.5769,103.0514,94.0233,10.571,2.4189,12.4801,11.9552,las_2_df
1338.5,36.3547,-30.0215,103.8018,94.2106,10.6551,2.4236,12.5597,12.0223,las_2_df
1339.0,36.3206,-29.6671,104.4775,94.2861,10.629,2.4228,12.6393,12.1352,las_2_df
1339.5,35.7692,-29.4438,104.0452,94.8524,10.688,2.4317,12.719,12.2814,las_2_df
